#z_dep	log10E	z_inj	T_Elec	T_Phot
11.91840	5.55918	11.91840	0.17980	0.00016
11.91840	5.55918	13.01150	0.00024	0.00032
11.91840	5.55918	14.20490	0.00019	0.00024
11.91840	5.55918	15.50770	0.00015	0.00018
11.91840	5.55918	16.93000	0.00011	0.00013
11.91840	5.55918	18.48280	0.00009	0.00009
11.91840	5.55918	20.17790	0.00006	0.00007
11.91840	5.55918	22.02860	0.00005	0.00004
11.91840	5.55918	24.04890	0.00003	0.00003
11.91840	5.55918	26.25460	0.00002	0.00002
11.91840	5.55918	28.66250	0.00002	0.00001
11.91840	5.55918	31.29130	0.00001	0.00001
11.91840	5.55918	34.16130	0.00001	0.00001
11.91840	5.55918	37.29440	0.00001	0.00000
11.91840	5.55918	40.71490	0.00000	0.00000
11.91840	5.55918	44.44910	0.00000	0.00000
11.91840	5.55918	48.52570	0.00000	0.00000
11.91840	5.55918	52.97630	0.00000	0.00000
11.91840	5.55918	57.83510	0.00000	0.00000
11.91840	5.55918	63.13940	0.00000	0.00000
11.91840	5.55918	68.93030	0.00000	0.00000
11.91840	5.55918	75.25230	0.00000	0.00000
11.91840	5.55918	82.15410	0.00000	0.00000
11.91840	5.55918	89.68890	0.00000	0.00000
11.91840	5.55918	97.91480	0.00000	0.00000
11.91840	5.55918	106.89500	0.00000	0.00000
11.91840	5.55918	116.69900	0.00000	0.00000
11.91840	5.55918	127.40200	0.00000	0.00000
11.91840	5.55918	139.08700	0.00000	0.00000
11.91840	5.55918	151.84400	0.00000	0.00000
11.91840	5.55918	165.77000	0.00000	0.00000
11.91840	5.55918	180.97400	0.00000	0.00000
11.91840	5.55918	197.57200	0.00000	0.00000
11.91840	5.55918	215.69200	0.00000	0.00000
11.91840	5.55918	235.47500	0.00000	0.00000
11.91840	5.55918	257.07100	0.00000	0.00000
11.91840	5.55918	280.64900	0.00000	0.00000
11.91840	5.55918	306.38900	0.00000	0.00000
11.91840	5.55918	334.48900	0.00000	0.00000
11.91840	5.55918	365.16700	0.00000	0.00000
11.91840	5.55918	398.65900	0.00000	0.00000
11.91840	5.55918	435.22200	0.00000	0.00000
11.91840	5.55918	475.13900	0.00000	0.00000
11.91840	5.55918	518.71700	0.00000	0.00000
11.91840	5.55918	566.29100	0.00000	0.00000
